OBJECTID,landslide_trigger,event_date,latitude,longitude,landslide_size
5690031,rain,2017-06-30 12:00:00,33.013463689999995,74.93530188999999,medium
5690033,rain,2017-06-21 07:00:00,27.058803840000003,93.54136779,small
5690034,continuous_rain,2017-05-26 00:00:00,6.586835,80.16048599999999,medium
5690036,rain,2017-06-05 00:00:00,53.72832063,-1.9592082,small
5690037,rain,2017-06-19 02:00:00,51.97686189,-122.2792711,large
5690038,rain,2017-06-05 03:00:00,-9.63205844,160.17818389,medium
5690040,rain,2016-08-15 00:00:00,37.513392,111.145575,small
5690041,rain,2017-05-26 17:00:00,25.907233,91.881892,small
5690042,rain,2017-05-18 00:00:00,18.52049393,-74.19608968,large
5690043,continuous_rain,2017-06-02 00:00:00,25.67061161,94.11844319,medium
5690044,rain,2017-01-10 00:00:00,-23.91300145,-65.46576609,large
5690046,downpour,2017-06-26 00:00:00,24.32420539,93.15020652,large
5690051,rain,2017-06-12 11:00:00,22.59420297,92.16404889,medium
5690053,continuous_rain,2016-08-11 18:00:00,56.87939325,-5.67282681,medium
5690054,rain,2017-05-25 00:00:00,6.093508099999999,80.60687667,medium
5690060,rain,2017-06-10 16:00:00,23.73354779,92.74744512,small
5690061,continuous_rain,2017-06-04 22:00:00,27.33861278,87.67107225000001,medium
5690062,rain,2017-06-12 09:00:00,13.90074546,74.66018578,small
5690063,continuous_rain,2017-06-12 22:00:00,25.11956675,94.36416626,medium
5690064,rain,2017-05-19 00:00:00,36.770029,-83.71212600000001,small
5690065,downpour,2017-06-27 00:00:00,46.24948002,-119.33906188,small
5690067,rain,2017-05-17 00:00:00,41.60140744,72.67711817,medium
5690069,snowfall_snowmelt,2017-01-18 00:00:00,45.51973384,-122.72581486,small
5690070,rain,2017-06-03 22:00:00,24.19467451,91.82931979,medium
5690072,downpour,2017-06-27 00:00:00,31.72415448,76.93732121,small
5690073,rain,2017-05-21 00:00:00,35.14803123,-81.01035394,small
5690074,downpour,2017-06-25 00:00:00,8.68962222,104.87070012,small
5690076,continuous_rain,2017-06-04 22:00:00,27.33861278,87.67107225000001,medium
5690077,continuous_rain,2017-06-25 00:00:00,29.04080591,114.41329653,small
5690078,snowfall_snowmelt,2017-05-29 00:00:00,46.28376389,7.619904030000001,large
5690079,rain,2017-06-30 00:00:00,26.92110789,103.27687176,medium
5690082,rain,2017-05-28 22:00:00,24.59383609,121.41808599,medium
5690085,rain,2017-05-19 22:00:00,50.868738,11.737339,small
5690086,downpour,2017-06-26 00:00:00,39.526663590000005,67.81728309,large
5690087,continuous_rain,2017-06-29 00:00:00,15.68638494,74.16234114,small
5690088,rain,2017-06-10 06:00:00,-6.71438257,106.61858457,small
5690089,continuous_rain,2017-05-25 00:00:00,6.50950401,80.23142734,medium
5690090,rain,2017-05-24 00:00:00,35.72457989,-83.50704109,small
5690093,rain,2017-05-18 00:00:00,4.193408000000001,114.04228,small
5690094,rain,2017-06-18 00:00:00,44.765587960000005,-109.4327121,small
5690095,continuous_rain,2017-05-26 00:00:00,6.26079274,80.49138664,medium
5690096,rain,2017-05-26 00:00:00,27.54295099,88.59676956,medium
5690097,rain,2017-06-29 00:00:00,34.788609480000005,73.51484235999999,medium
5690099,rain,2016-08-16 00:00:00,46.539613,12.132183,very_large
5690100,rain,2017-07-02 00:00:00,32.23843313,78.06239076,small
5690101,rain,2017-07-01 00:00:00,28.27909521,83.00633062,medium
5690102,rain,2016-08-24 06:00:00,22.33644964,103.84485744,medium
5690103,rain,2016-08-29 04:00:00,19.170539,73.022276,small
5690104,rain,2016-08-25 00:00:00,25.660517,94.104931,small
5690105,rain,2017-06-30 10:00:00,27.8077847,84.43754872,small
5690107,rain,2016-08-28 08:00:00,10.679445,-61.521836,small
5690108,downpour,2016-08-22 06:00:00,5.39558,100.31801,small
5690109,downpour,2017-06-30 00:00:00,28.21676766,84.00622259000001,small
5690110,continuous_rain,2016-08-30 00:00:00,16.574445,120.732714,large
5690111,rain,2017-06-28 00:00:00,39.395068560000006,68.54795417,medium
5690112,downpour,2017-06-30 00:00:00,25.06657276,93.9310888,small
5690113,downpour,2016-10-29 00:00:00,5.396168589999999,100.26339228,medium
5690114,rain,2016-08-31 00:00:00,27.503555,85.21970900000001,small
5690115,downpour,2017-06-30 07:00:00,33.79383585,129.7143555,small
5690117,downpour,2017-06-29 00:00:00,50.70838436,-2.75802154,very_large
5690118,rain,2016-08-21 00:00:00,31.452060000000003,78.40130300000001,small
5690119,continuous_rain,2017-06-27 05:00:00,9.23736255,105.45473242,medium
5690122,continuous_rain,2017-07-01 00:00:00,28.06986667,83.65247597,medium
5690124,rain,2016-08-31 22:00:00,28.007828,86.191717,large
5690125,continuous_rain,2017-07-02 00:00:00,28.27254506,83.95706865,small
5690126,downpour,2017-07-01 05:00:00,27.10647226,93.65975252,medium
5690127,rain,2017-07-03 00:00:00,14.52203442,74.41035052000001,medium
5690129,continuous_rain,2017-07-01 07:00:00,27.08168565,93.60815652,medium
5690130,rain,2017-06-29 00:00:00,33.18477201,75.80813836,medium
5690131,rain,2016-08-28 00:00:00,30.922325,78.68137899999999,small
5690132,downpour,2016-08-30 15:00:00,3.1857830000000003,101.677787,medium
5690133,downpour,2017-06-30 00:00:00,33.08146902,75.29750088,small
5690134,downpour,2017-06-30 00:00:00,44.32688636,6.8076282,medium
5690136,downpour,2017-06-29 15:00:00,43.09367409,76.95661041,small
5690138,downpour,2016-08-21 06:00:00,5.456131,100.309601,small
5690139,continuous_rain,2017-07-01 00:00:00,27.01145644,92.64204045,small
5690140,rain,2017-07-03 00:00:00,28.107142,84.30797700000001,large
5690141,rain,2017-07-02 00:00:00,32.26186432,78.0685005,small
5690142,rain,2017-07-02 00:00:00,32.24637329,78.06616409,small
5690143,continuous_rain,2017-06-30 00:00:00,27.18732399,87.50256183,medium
5690144,rain,2017-05-18 00:00:00,47.962431630000005,-122.23811865,small
5690146,rain,2017-05-24 14:00:00,27.769793,93.50995626,small
5690147,rain,2017-06-20 00:00:00,15.64525862,-91.43664048,medium
5690150,rain,2016-08-15 00:00:00,29.132062,81.811777,small
5690151,rain,2017-06-29 00:00:00,41.03212867,72.73033802,large
5690152,rain,2016-08-25 00:00:00,-36.933713,174.57834000000005,small
5690153,continuous_rain,2017-05-26 00:00:00,6.51858725,80.18135876,large
5690154,continuous_rain,2017-07-02 00:00:00,28.24831087,83.97447829000001,small
5690155,rain,2016-08-29 08:00:00,30.995694,78.936314,medium
5690156,downpour,2017-06-30 11:00:00,27.04768643,93.61899644,medium
5690157,rain,2016-09-02 05:00:00,27.767046,84.469745,medium
5690158,rain,2017-07-01 00:00:00,24.95178179,94.20340026,small
5690159,rain,2017-07-04 00:00:00,39.81020345,69.52794225000001,medium
5690160,downpour,2017-07-03 00:00:00,26.10035658,91.87351723,small
5690161,downpour,2017-07-02 23:00:00,28.15308814,112.04256555,large
5690162,continuous_rain,2016-09-03 00:00:00,27.943851,83.805661,medium
5690163,rain,2016-09-03 00:00:00,50.71962,-1.797239,small
5690164,rain,2016-09-07 00:00:00,-6.589661,106.791206,small
5690165,rain,2016-09-07 00:00:00,22.225713,113.921806,small
5690167,rain,2016-08-06 00:00:00,28.239,82.9415,small
5690168,rain,2017-08-29 08:00:00,19.41286968,73.28423263,medium
5690169,rain,2017-08-29 06:00:00,59.44688356,-135.32134695000002,medium
5690171,downpour,2017-08-26 04:00:00,22.77117591,103.48432778,large
5690176,continuous_rain,2017-07-10 00:00:00,26.14547804,91.79364785,small
5690178,rain,2017-06-26 00:00:00,47.80539609,-117.55329982,small
5690182,rain,2007-03-19 00:00:00,33.8778,74.3333,medium
5690183,downpour,2016-10-01 00:00:00,51.4216,0.8546,medium
5690185,continuous_rain,2015-04-02 00:00:00,34.1587,74.4725,medium
5690186,downpour,2015-07-19 00:00:00,33.0742,-116.9029,small
5690187,rain,2015-10-21 00:00:00,15.3482,-92.2523,medium
5690188,rain,2014-09-01 00:00:00,7.7211,125.1335,medium
5690189,continuous_rain,2014-10-15 00:00:00,13.7895,-89.7739,medium
5690191,rain,2013-08-18 00:00:00,23.4946,111.2768,medium
5690192,downpour,2011-12-23 00:00:00,4.8349,-75.6621,medium
5690193,downpour,2011-04-25 00:00:00,39.1075,-84.4953,small
5690194,downpour,2010-09-28 00:00:00,18.0083,-76.4394,medium
5690204,rain,2007-07-28 00:00:00,15.4014,73.8277,medium
5690207,rain,2007-01-03 00:00:00,-10.3838,-75.4267,medium
5690208,rain,2007-01-02 00:00:00,54.5494,-3.5875,medium
5690209,rain,2007-01-05 00:00:00,-22.0452,-42.6734,medium
5690210,rain,2007-01-05 00:00:00,-22.28234635,-42.53636205,large
5690211,downpour,2008-07-24 00:00:00,29.0833,81.3333,medium
5690212,downpour,2010-05-10 00:00:00,38.6198,-82.6276,medium
5690213,downpour,2012-07-17 00:00:00,49.3265,-117.6582,medium
5690215,downpour,2011-12-27 00:00:00,10.37,123.97,medium
5690216,downpour,2011-05-17 00:00:00,40.6573,-79.8375,small
5690218,rain,2015-02-15 00:00:00,49.3729,-117.6744,small
5690219,downpour,2014-01-23 00:00:00,18.5875,120.8221,unknown
5690223,rain,2011-06-27 00:00:00,12.6771,75.2565,medium
5690224,downpour,2012-08-28 00:00:00,36.15762152,71.62112087999999,large
5690225,rain,2012-11-13 00:00:00,-22.2815,-42.5329,large
5690227,rain,2013-02-17 00:00:00,1.4808,124.868,very_large
5690229,downpour,2014-01-21 00:00:00,50.6723,-1.55,small
5690230,downpour,2013-09-05 09:00:00,47.8907,-117.6865,medium
5690231,downpour,2013-12-07 23:00:00,-12.3546,-40.9044,medium
5690233,downpour,2013-12-03 12:00:00,40.5452,16.6525,medium
5690234,downpour,2008-10-04 00:00:00,-14.0,-70.4,medium
5690235,continuous_rain,2014-06-20 09:00:00,44.9459,-93.0553,small
5690236,downpour,2011-04-20 01:00:00,-6.584,106.7732,medium
5690237,downpour,2010-12-13 04:00:00,48.0079,-122.3101,small
5690238,downpour,2010-07-12 06:00:00,33.8426,132.7681,medium
5690239,rain,2007-07-10 00:00:00,7.8098,125.4498,medium
5690241,downpour,2010-04-06 00:00:00,-22.5232,-43.2212,medium
5690243,rain,2011-04-03 03:20:00,52.6901,-3.8666,small
5690244,rain,2007-10-15 00:00:00,22.5333,89.4,medium
5690245,rain,2012-07-14 00:00:00,45.7153,-121.6406,medium
5690246,continuous_rain,2011-01-07 00:00:00,9.1196,125.5339,medium
5690248,continuous_rain,2009-08-17 18:00:00,29.4085,80.1327,medium
5690249,downpour,2008-05-23 00:00:00,34.1742,-118.0459,small
5690250,downpour,2010-04-05 00:00:00,-12.9655,-71.4216,medium
5690252,downpour,2010-07-29 00:00:00,35.3585,75.6355,medium
5690253,rain,2011-07-16 00:00:00,27.99134853,84.06527738,medium
5690255,rain,2012-11-21 18:00:00,51.3255,-2.9339,medium
5690256,downpour,2016-03-13 00:00:00,38.7987,-120.4218,small
5690257,downpour,2010-12-06 00:00:00,14.8315,108.7431,medium
5690260,rain,2010-02-25 06:45:00,33.9062,-116.8721,small
5690262,rain,2013-02-03 00:00:00,46.7191,6.852,very_large
5690263,downpour,2010-04-06 00:00:00,-22.9033,-43.2394,medium
5690264,rain,2015-03-16 14:30:00,47.7166,-122.376,small
5690265,downpour,2009-12-29 00:00:00,-15.345,-71.489,medium
5690268,downpour,2013-12-11 09:00:00,-22.5444,-43.2087,small
5690269,downpour,2008-10-12 00:00:00,9.764,-84.397,medium
5690270,downpour,2010-07-13 00:00:00,42.7167,-77.5191,medium
5690272,downpour,2011-06-26 00:00:00,19.9436,105.3131,large
5690273,downpour,2013-07-18 00:00:00,39.5672,-106.4031,medium
5690275,rain,2014-08-27 20:00:00,26.9226,107.3407,large
5690277,downpour,2010-01-23 00:00:00,-13.2122,-72.3902,medium
5690278,downpour,1997-01-01 00:00:00,47.636,-122.3811,small
5690279,rain,2007-02-13 00:00:00,50.4444,-4.9527,small
5690280,rain,2013-06-16 00:00:00,30.4619,79.0765,medium
5690281,downpour,2012-07-05 00:00:00,30.1281,78.3221,large
5690282,downpour,2010-10-07 00:00:00,34.6644,73.4637,medium
5690284,rain,2007-12-26 00:00:00,-7.6511,111.1835,large
5690287,downpour,2010-04-06 00:00:00,-23.0099,-43.288,medium
5690288,rain,2007-08-06 00:00:00,57.6778,-2.2651,medium
5690289,downpour,2011-03-24 00:00:00,37.9768,-122.547,small
5690291,continuous_rain,2017-06-27 11:00:00,32.08059703,103.66530845,large
5690292,downpour,2010-07-22 05:00:00,33.3893,75.203,medium
5690293,rain,2013-08-13 03:00:00,-41.0415,145.8596,small
5690294,downpour,2011-06-10 04:00:00,29.3046,113.5578,large
5690295,rain,2007-12-03 00:00:00,47.3434,-123.1628,medium
5690297,downpour,2010-09-10 00:00:00,40.6378,14.6074,medium
5690298,downpour,2010-04-06 00:00:00,-22.8887,-43.0783,medium
5690301,downpour,2012-03-19 23:00:00,-16.73,145.6506,medium
5690302,downpour,2010-09-25 00:00:00,33.241,75.2382,medium
5690303,downpour,2010-08-23 07:00:00,27.5,90.5034,medium
5690304,rain,2007-10-11 00:00:00,10.0214,-83.9451,large
5690305,continuous_rain,2014-10-15 00:00:00,13.293,-88.0843,medium
5690308,downpour,2013-11-13 23:00:00,8.4557,77.009,medium
5690309,downpour,2011-11-26 00:00:00,15.1257,108.8115,medium
5690310,downpour,2013-07-12 23:00:00,25.616,94.1167,medium
